date,spr_kbbl
2004-04-30,657588
2004-05-07,659033
2004-05-14,659331
2004-05-21,659480
2004-05-28,660346
2004-06-04,661343
2004-06-11,661339
2004-06-18,661339
2004-06-25,662380
2004-07-02,662380
2004-07-09,662876
2004-07-16,662873
2004-07-23,663967
2004-07-30,664516
2004-08-06,665670
2004-08-13,666182
2004-08-20,667208
2004-08-27,668516
2004-09-03,669003
2004-09-10,669301
2004-09-17,669857
2004-09-24,670442
2004-10-01,670150
2004-10-08,669200
2004-10-15,668949
2004-10-22,669595
2004-10-29,669715
2004-11-05,670323
2004-11-12,671248
2004-11-19,671247
2004-11-26,671247
2004-12-03,672772
2004-12-10,673234
2004-12-17,673606
2004-12-24,673606
2004-12-31,674000
2005-01-07,675606
2005-01-14,676460
2005-01-21,677618
2005-01-28,678627
2005-02-04,679675
2005-02-11,680515
2005-02-18,681059
2005-02-25,681513
2005-03-04,682015
2005-03-11,683657
2005-03-18,685368
2005-03-25,686878
2005-04-01,687500
2005-04-08,688751
2005-04-15,689804
2005-04-22,690740
2005-04-29,691215
2005-05-06,692012
2005-05-13,692467
2005-05-20,692909
2005-05-27,693295
2005-06-03,693939
2005-06-10,694935
2005-06-17,695563
2005-06-24,695800
2005-07-01,696300
2005-07-08,697000
2005-07-15,697484
2005-07-22,698000
2005-07-29,698205
2005-08-05,698933
2005-08-12,699756
2005-08-19,700231
2005-08-26,700500
2005-09-02,700500
2005-09-09,699200
2005-09-16,696464
2005-09-23,695500
2005-09-30,693250
2005-10-07,690520
2005-10-14,688700
2005-10-21,687100
2005-10-28,685200
2005-11-04,684500
2005-11-11,684700
2005-11-18,684400
2005-11-25,685100
2005-12-02,685600
2005-12-09,685600
2005-12-16,685100
2005-12-23,685100
2005-12-30,684600
2006-01-06,684300
2006-01-13,684300
2006-01-20,684496
2006-01-27,683700
2006-02-03,683900
2006-02-10,683900
2006-02-17,684300
2006-02-24,684600
2006-03-03,684800
2006-03-10,684800
2006-03-17,685200
2006-03-24,685700
2006-03-31,686300
2006-04-07,686457
2006-04-14,686896
2006-04-21,687116
2006-04-28,687614
2006-05-05,688057
2006-05-12,688599
2006-05-19,688599
2006-05-26,688598
2006-06-02,688598
2006-06-09,688597
2006-06-16,688599
2006-06-23,688598
2006-06-30,688598
2006-07-07,687848
2006-07-14,687847
2006-07-21,687847
2006-07-28,687846
2006-08-04,687845
2006-08-11,687845
2006-08-18,687843
2006-08-25,687842
2006-09-01,687842
2006-09-08,687840
2006-09-15,687839
2006-09-22,687838
2006-09-29,687838
2006-10-06,687927
2006-10-13,687926
2006-10-20,688195
2006-10-27,688438
2006-11-03,688515
2006-11-10,688605
2006-11-17,688605
2006-11-24,688605
2006-12-01,688605
2006-12-08,688605
2006-12-15,688605
2006-12-22,688605
2006-12-29,688605
2007-01-05,688605
2007-01-12,688605
2007-01-19,688605
2007-01-26,688605
2007-02-02,688605
2007-02-09,688605
2007-02-16,688605
2007-02-23,688605
2007-03-02,688604
2007-03-09,688604
2007-03-16,688604
2007-03-23,688603
2007-03-30,688603
2007-04-06,688661
2007-04-13,688915
2007-04-20,689025
2007-04-27,689313
2007-05-04,689477
2007-05-11,689609
2007-05-18,689691
2007-05-25,689988
2007-06-01,690270
2007-06-08,690270
2007-06-15,690270
2007-06-22,690270
2007-06-29,690270
2007-07-06,690270
2007-07-13,690270
2007-07-20,690270
2007-07-27,690270
2007-08-03,690270
2007-08-10,690270
2007-08-17,690270
2007-08-24,690271
2007-08-31,690271
2007-09-07,690437
2007-09-14,690912
2007-09-21,692541
2007-09-28,692804
2007-10-05,692803
2007-10-12,693305
2007-10-19,693851
2007-10-26,693943
2007-11-02,694035
2007-11-09,694680
2007-11-16,694773
2007-11-23,694773
2007-11-30,695409
2007-12-07,695503
2007-12-14,695600
2007-12-21,695501
2007-12-28,696375
2008-01-04,696549
2008-01-11,698069
2008-01-18,698146
2008-01-25,698145
2008-02-01,698254
2008-02-08,698349
2008-02-15,698349
2008-02-22,698577
2008-02-29,698711
2008-03-07,698822
2008-03-14,699504
2008-03-21,699503
2008-03-28,699750
2008-04-04,700372
2008-04-11,701013
2008-04-18,701132
2008-04-25,701339
2008-05-02,701331
2008-05-09,701992
2008-05-16,702650
2008-05-23,703289
2008-05-30,704102
2008-06-06,704253
2008-06-13,704744
2008-06-20,704846
2008-06-27,705823
2008-07-04,705956
2008-07-11,706068
2008-07-18,706184
2008-07-25,706300
2008-08-01,706815
2008-08-08,707215
2008-08-15,707214
2008-08-22,707213
2008-08-29,707213
2008-09-05,707213
2008-09-12,707212
2008-09-19,705789
2008-09-26,704414
2008-10-03,702414
2008-10-10,702134
2008-10-17,701887
2008-10-24,701833
2008-10-31,701833
2008-11-07,701831
2008-11-14,701830
2008-11-21,701830
2008-11-28,701830
2008-12-05,701828
2008-12-12,701828
2008-12-19,701826
2008-12-26,701824
2009-01-02,701824
2009-01-09,701890
2009-01-16,702063
2009-01-23,702796
2009-01-30,703519
2009-02-06,703843
2009-02-13,703942
2009-02-20,704171
2009-02-27,704903
2009-03-06,705695
2009-03-13,707496
2009-03-20,709343
2009-03-27,711015
2009-04-03,712887
2009-04-10,714150
2009-04-17,715448
2009-04-24,716673
2009-05-01,718737
2009-05-08,719592
2009-05-15,720331
2009-05-22,721616
2009-05-29,721700
2009-06-05,721700
2009-06-12,722285
2009-06-19,722780
